id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
112,2024-07-31 08:10:32.196637,7.0,3.2,4.7,1.4,1
111,2024-07-31 08:10:31.195545,5.0,3.4,1.6,0.4,0
110,2024-07-31 08:10:30.188056,6.6,2.9,4.6,1.3,1
109,2024-07-31 08:10:29.179153,5.8,2.7,5.1,1.9,2
108,2024-07-31 08:10:28.171258,5.1,2.5,3.0,1.1,1
107,2024-07-31 08:10:27.166838,7.4,2.8,6.1,1.9,2
106,2024-07-31 08:10:26.158913,7.4,2.8,6.1,1.9,2
105,2024-07-31 08:10:25.153636,6.5,3.0,5.8,2.2,2
104,2024-07-31 08:10:24.146972,4.8,3.1,1.6,0.2,0
103,2024-07-31 08:10:23.142053,5.1,3.8,1.9,0.4,0
102,2024-07-31 08:10:22.132567,6.2,2.2,4.5,1.5,1
101,2024-07-31 08:10:21.127042,5.9,3.0,4.2,1.5,1
100,2024-07-31 08:10:20.122138,5.6,3.0,4.5,1.5,1
99,2024-07-31 08:10:19.118419,6.8,3.2,5.9,2.3,2
98,2024-07-31 08:10:18.108893,5.5,2.3,4.0,1.3,1
97,2024-07-31 08:10:17.098764,6.1,2.8,4.0,1.3,1
96,2024-07-31 08:10:16.092891,5.4,3.4,1.7,0.2,0
95,2024-07-31 08:10:15.085061,5.4,3.0,4.5,1.5,1
94,2024-07-31 08:10:14.079061,5.4,3.7,1.5,0.2,0
93,2024-07-31 08:10:13.072717,5.0,3.5,1.6,0.6,0
92,2024-07-31 08:10:12.064454,6.7,3.1,4.4,1.4,1
91,2024-07-31 08:10:11.055375,6.7,3.0,5.2,2.3,2
90,2024-07-31 08:10:10.049857,5.2,2.7,3.9,1.4,1
89,2024-07-31 08:10:09.045294,5.4,3.7,1.5,0.2,0
88,2024-07-31 08:10:08.041358,6.5,3.2,5.1,2.0,2
87,2024-07-31 08:10:07.032727,4.9,2.4,3.3,1.0,1
86,2024-07-31 08:10:06.024326,6.1,2.6,5.6,1.4,2
85,2024-07-31 08:10:05.016145,6.3,2.9,5.6,1.8,2
84,2024-07-31 08:10:04.009882,5.2,2.7,3.9,1.4,1
83,2024-07-31 08:10:03.003221,7.7,2.8,6.7,2.0,2
82,2024-07-31 08:10:01.998149,4.8,3.4,1.6,0.2,0
81,2024-07-31 08:10:00.992479,6.5,3.2,5.1,2.0,2
80,2024-07-31 08:09:59.987687,5.0,3.3,1.4,0.2,0
79,2024-07-31 08:09:58.979986,5.8,2.7,3.9,1.2,1
78,2024-07-31 08:09:57.972483,6.3,2.7,4.9,1.8,2
77,2024-07-31 08:09:56.963154,6.5,3.2,5.1,2.0,2
76,2024-07-31 08:09:55.952418,5.4,3.4,1.5,0.4,0
75,2024-07-31 08:09:54.945773,6.0,2.2,5.0,1.5,2
74,2024-07-31 08:09:53.939401,5.9,3.2,4.8,1.8,1
73,2024-07-31 08:09:52.931677,6.4,2.7,5.3,1.9,2
72,2024-07-31 08:09:51.924792,5.7,2.8,4.1,1.3,1
71,2024-07-31 08:09:50.914343,5.7,2.8,4.5,1.3,1
70,2024-07-31 08:09:49.905631,7.6,3.0,6.6,2.1,2
69,2024-07-31 08:09:48.896833,6.3,3.3,4.7,1.6,1
68,2024-07-31 08:09:47.889093,5.8,2.7,3.9,1.2,1
67,2024-07-31 08:09:46.878167,5.0,3.5,1.6,0.6,0
66,2024-07-31 08:09:45.870132,6.0,2.9,4.5,1.5,1
65,2024-07-31 08:09:44.863889,5.0,3.3,1.4,0.2,0
64,2024-07-31 08:09:43.856721,5.0,3.4,1.5,0.2,0
63,2024-07-31 08:09:42.850804,5.8,2.7,3.9,1.2,1
62,2024-07-31 08:09:41.841086,6.0,2.9,4.5,1.5,1
61,2024-07-31 08:09:40.833222,6.3,2.5,4.9,1.5,1
60,2024-07-31 08:09:39.827732,6.3,2.8,5.1,1.5,2
59,2024-07-31 08:09:38.819133,5.9,3.0,4.2,1.5,1
58,2024-07-31 08:09:37.806687,7.0,3.2,4.7,1.4,1
57,2024-07-31 08:09:36.799012,6.4,2.8,5.6,2.1,2
56,2024-07-31 08:09:35.789987,6.1,2.8,4.7,1.2,1
55,2024-07-31 08:09:34.782126,5.2,4.1,1.5,0.1,0
54,2024-07-31 08:09:33.777433,5.7,2.8,4.5,1.3,1
53,2024-07-31 08:09:32.769894,4.3,3.0,1.1,0.1,0
52,2024-07-31 08:09:31.759936,7.7,2.8,6.7,2.0,2
51,2024-07-31 08:09:30.753019,6.8,3.2,5.9,2.3,2
50,2024-07-31 08:09:29.742826,7.2,3.6,6.1,2.5,2
49,2024-07-31 08:09:28.736097,5.0,3.0,1.6,0.2,0
48,2024-07-31 08:09:27.728925,5.8,2.7,5.1,1.9,2
47,2024-07-31 08:09:26.718491,6.3,2.7,4.9,1.8,2
46,2024-07-31 08:09:25.708537,5.1,3.8,1.5,0.3,0
45,2024-07-31 08:09:24.700628,5.9,3.0,4.2,1.5,1
44,2024-07-31 08:09:23.694888,7.7,3.0,6.1,2.3,2
43,2024-07-31 08:09:22.686202,5.4,3.9,1.3,0.4,0
42,2024-07-31 08:09:21.678298,5.7,2.5,5.0,2.0,2
41,2024-07-31 08:09:20.667104,4.7,3.2,1.3,0.2,0
40,2024-07-31 08:09:19.659550,6.9,3.1,4.9,1.5,1
39,2024-07-31 08:09:18.651801,5.7,2.6,3.5,1.0,1
38,2024-07-31 08:09:17.642235,6.3,2.3,4.4,1.3,1
37,2024-07-31 08:09:16.633265,7.7,3.0,6.1,2.3,2
36,2024-07-31 08:09:15.626891,4.7,3.2,1.6,0.2,0
35,2024-07-31 08:09:14.613965,6.3,2.8,5.1,1.5,2
34,2024-07-31 08:09:13.603347,5.4,3.9,1.3,0.4,0
33,2024-07-31 08:09:12.596697,6.6,3.0,4.4,1.4,1
32,2024-07-31 08:09:11.591056,7.0,3.2,4.7,1.4,1
31,2024-07-31 08:09:10.581650,5.6,2.8,4.9,2.0,2
30,2024-07-31 08:09:09.570405,5.5,2.5,4.0,1.3,1
29,2024-07-31 08:09:08.561761,7.2,3.6,6.1,2.5,2
28,2024-07-31 08:09:07.551416,6.7,3.0,5.0,1.7,1
27,2024-07-31 08:09:06.544343,5.2,3.5,1.5,0.2,0
26,2024-07-31 08:09:05.539271,5.4,3.0,4.5,1.5,1
25,2024-07-31 08:09:04.531911,5.4,3.9,1.7,0.4,0
24,2024-07-31 08:09:03.521514,6.1,2.9,4.7,1.4,1
23,2024-07-31 08:09:02.511641,7.6,3.0,6.6,2.1,2
22,2024-07-31 08:09:01.502371,5.1,2.5,3.0,1.1,1
21,2024-07-31 08:09:00.495973,6.3,3.4,5.6,2.4,2
20,2024-07-31 08:08:59.485961,7.7,3.0,6.1,2.3,2
19,2024-07-31 08:08:58.478449,6.0,2.7,5.1,1.6,1
18,2024-07-31 08:08:57.473371,6.0,3.4,4.5,1.6,1
17,2024-07-31 08:08:56.469521,5.7,2.6,3.5,1.0,1
16,2024-07-31 08:08:55.461363,5.2,4.1,1.5,0.1,0
15,2024-07-31 08:08:54.454445,4.6,3.1,1.5,0.2,0
14,2024-07-31 08:08:53.443538,6.3,2.3,4.4,1.3,1
13,2024-07-31 08:08:52.432504,6.4,3.1,5.5,1.8,2
